GitHub Repo,ACR Repo,Chart (acx-k8s-app),Tag Prefix Prod,Tag Prefix Dev
AcxTenantReporting,acxtenantreporting,health-reporting,master,dev
amazon-connect-integration,amazon-connect-integration,amazon-connect,main,stage
associated-media-processor,associated-media-processor,associated-media-processor,main,stage
AudioMediaProcessor,audiomediaprocessor,audio-media-processor,master,dev
AudioVideoMetadataProcessor,audiovideometadataprocessor,audio-video-metadata-processor,master,dev
bill-of-work-producer,bill-of-work-producer,bill-of-work,main,stage
ClassifierServices,classifierservices,classifier-services,master,dev
EmbeddingBatchConsumer,embeddingbatchconsumer,embedding-batch-consumer,master,dev
FilterModuleService,filtermoduleservice,filter-module-service,master,dev
genesys-integration,genesys-integration,genesys,main,stage
Model-InterOp,model-interop,model-interop,master,dev
ModelWorkflowConsumer,modelworkflowconsumer,model-workflow,master,dev
post-pipeline-integration,post-pipeline-integration,post-pipeline,main,stage
RbcClassifier,rbcclassifier,rbc-classify,master,dev
RbcReclassify,rbcreclassify,rbc-reclassify,dev,/
RedactionConsumer,redactionconsumer,redaction,master,dev
Reporting-Saga,reporting-saga,reporting-saga,main,stage
Requeuing-Service,requeuing-service,requeuing-service,master,dev
saga-manager,saga-manager,saga-manager,main,stage
SpeakerIdentificationConsumer,speakeridentificationconsumer,speaker-identification,master,dev
TranscribeMediaService,transcribemediaservice,transcribe-media-service,master,dev
TranscriptionBatchProducerV2,transcriptionbatchproducerv2,transcription-batch-producerv2,main,dev
TranslationConsumer,translationconsumer,translation,master,dev
webhook-processor,beacx/webhook-processor,webhook-processor,master,staging
PipelineFaultMonitor,pipeline-fault-monitor,pipeline-fault-monitor,master,stage
pipeline-sampler,beacx/pipeline-sampler,pipeline-sampler,master,staging
Integrations,beacx/integrations,external-integrations,master,stage
filepreprocessor,beacx/filepreprocessor,file-preprocessor,master,staging
Internal-Api,internal-api,internal-api/api,master-api-service,dev-api-service
Internal-Api,internal-api,internal-api/interop,master-api-interop,dev-api-interop
TextMediaConsumer,batchtextmediaconsumer,batch-text-media-consumer,master,dev
TextMediaConsumer,textmediaconsumer,text-media-consumer,master,dev
ExtendedMetadataProcessor,extendedmetadataconsumer,extended-metadata-consumer,master,dev
ExtendedMetadataProcessor,batchextendedmetadataconsumer,extended-metadata-consumer-batch,master,dev
